City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Eltham,NZ,-39.4292,174.3,51.69,97,46,4.5,scattered clouds
1,Samarai,PG,-10.6167,150.6667,80.19,80,35,6.08,scattered clouds
2,Paciran,ID,-6.8767,112.3761,81.36,78,96,12.62,overcast clouds
3,Mataura,NZ,-46.1927,168.8643,43.41,94,98,6.76,overcast clouds
4,Ancud,CL,-41.8697,-73.8203,48.61,68,91,11.88,light rain
5,Kapaa,US,22.0752,-159.319,75.18,96,75,8.05,broken clouds
6,Pisco,PE,-13.7,-76.2167,65.01,82,100,5.75,mist
7,Severo-Kurilsk,RU,50.6789,156.125,40.42,96,99,16.15,overcast clouds
8,Mahebourg,MU,-20.4081,57.7,75.49,73,40,10.36,scattered clouds
9,Tecpan,GT,14.7623,-90.9947,63.9,65,91,2.57,overcast clouds
10,Hasaki,JP,35.7333,140.8333,61.29,81,97,8.86,overcast clouds
11,Den Helder,NL,52.9599,4.7593,69.98,60,100,7.0,overcast clouds
12,Amapa,BR,1.0,-52.0,81.36,76,59,4.68,broken clouds
13,Port Alfred,ZA,-33.5906,26.891,62.19,82,31,1.01,scattered clouds
14,Chokurdakh,RU,70.6333,147.9167,31.1,99,100,2.55,light snow
15,Hobart,AU,-42.8794,147.3294,49.86,83,100,6.91,overcast clouds
16,Puerto Escondido,MX,15.85,-97.0667,85.03,79,40,5.75,scattered clouds
17,Yatou,CN,37.15,122.3833,63.25,71,5,7.83,clear sky
18,Jamestown,US,42.097,-79.2353,71.24,81,75,15.99,broken clouds
19,Mehamn,NO,71.0357,27.8492,42.75,81,0,9.22,clear sky
20,Rikitea,PF,-23.1203,-134.9692,75.96,76,8,13.29,clear sky
21,Ilulissat,GL,69.2167,-51.1,33.82,93,75,0.0,light rain and snow
22,Uspenka,UA,48.3903,39.1619,57.27,72,100,11.99,overcast clouds
23,Yazd,IR,31.8972,54.3675,80.71,10,0,9.22,clear sky
24,Sechura,PE,-5.5569,-80.8222,74.53,62,7,9.95,clear sky
25,Khalkhal,IR,37.6189,48.5258,60.57,34,97,3.24,overcast clouds
26,Byron Bay,AU,-28.65,153.6167,58.71,85,89,11.05,light rain
27,Hermanus,ZA,-34.4187,19.2345,62.8,81,40,11.39,scattered clouds
28,Albany,US,42.6001,-73.9662,86.67,59,42,9.62,scattered clouds
29,Cabo San Lucas,MX,22.8909,-109.9124,78.62,65,0,6.91,clear sky
30,Santa,PH,17.486,120.4348,84.02,83,98,4.34,overcast clouds
31,Shirokiy,RU,49.758,129.523,53.91,66,100,18.52,overcast clouds
32,Mollendo,PE,-17.0231,-72.0147,67.55,76,97,8.43,overcast clouds
33,Codrington,AU,-38.2667,141.9667,43.52,94,6,7.9,clear sky
34,Meulaboh,ID,4.1363,96.1285,78.58,84,100,2.08,overcast clouds
35,Duzce,TR,40.8389,31.1639,69.12,69,29,4.88,scattered clouds
36,Biak,ID,-0.9131,122.8766,75.99,83,92,6.29,overcast clouds
37,Temiscaming,CA,46.7212,-79.0971,47.75,93,100,4.61,light rain
38,Provideniya,RU,64.3833,-173.3,44.35,56,100,10.04,overcast clouds
