City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
1,Samarai,PG,80.19,scattered clouds,-10.6167,150.6667,Nuli Sapi
2,Paciran,ID,81.36,overcast clouds,-6.8767,112.3761,Tanjung Kodok Beach Resort
5,Kapaa,US,75.18,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
8,Mahebourg,MU,75.49,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
12,Amapa,BR,81.36,broken clouds,1.0,-52.0,
16,Puerto Escondido,MX,85.03,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
20,Rikitea,PF,75.96,clear sky,-23.1203,-134.9692,People ThankYou
23,Yazd,IR,80.71,clear sky,31.8972,54.3675,Mozaffar Traditional Hotel
28,Albany,US,86.67,scattered clouds,42.6001,-73.9662,
29,Cabo San Lucas,MX,78.62,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
30,Santa,PH,84.02,overcast clouds,17.486,120.4348,Monte Leah Beach Resort
34,Meulaboh,ID,78.58,overcast clouds,4.1363,96.1285,Kost Pria
36,Biak,ID,75.99,overcast clouds,-0.9131,122.8766,Penginapan Kim
41,Yadgir,IN,89.83,scattered clouds,16.7667,77.1333,"SLV Hotel,Yadgir"
43,Nemours,FR,81.39,overcast clouds,48.2751,2.6908,ibis Nemours
45,Faanui,PF,80.46,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
59,Carroll,US,86.45,broken clouds,39.5501,-77.0164,Best Western Westminster Hotel
61,Dwarka,IN,83.03,scattered clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
65,Kavieng,PG,82.96,broken clouds,-2.5744,150.7967,Nusa Island Retreat
75,Caravelas,BR,77.11,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
77,Arraial Do Cabo,BR,76.96,clear sky,-22.9661,-42.0278,Pousada Porto Praia
79,Lorengau,PG,82.4,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
83,Bang Saphan,TH,76.03,light rain,11.2126,99.5117,Ladawan Boutique Hotel
84,Avarua,CK,75.25,light intensity shower rain,-21.2078,-159.775,Paradise Inn
85,Atuona,PF,77.5,light rain,-9.8,-139.0333,Villa Enata
